exercise_item_ID	exercise_type	exercise_instruction	exercise_item	example_solution	response	participant_ID	teacher_correction	teacher_error_annotation
can-vs-may_4	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	I had no key so I <gap> [not] lock the door.	couldn't	couldn't	EN_2	True	N/A
can-vs-may_4	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	I had no key so I <gap> [not] lock the door.	couldn't	couldn't	EN_3	True	N/A
can-vs-may_4	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	I had no key so I <gap> [not] lock the door.	couldn't	couldn't	EN_4	True	N/A
can-vs-may_4	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	I had no key so I <gap> [not] lock the door.	couldn't	couldn't	EN_5	True	N/A
can-vs-may_5	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When the garage had repaired our car we <gap> continue our journey.	were able to	could	EN_1	False	N/A
can-vs-may_5	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When the garage had repaired our car we <gap> continue our journey.	were able to	could	EN_2	False	N/A
can-vs-may_5	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When the garage had repaired our car we <gap> continue our journey.	were able to	could	EN_3	False	N/A
can-vs-may_5	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When the garage had repaired our car we <gap> continue our journey.	were able to	could	EN_4	False	N/A
can-vs-may_5	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When the garage had repaired our car we <gap> continue our journey.	were able to	were able to	EN_5	True	N/A
can-vs-may_6	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He <gap> read quite well at the age of five.	could	was able to	EN_1	False	N/A
can-vs-may_6	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He <gap> read quite well at the age of five.	could	could	EN_2	True	N/A
can-vs-may_6	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He <gap> read quite well at the age of five.	could	can	EN_3	False	N/A
can-vs-may_6	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He <gap> read quite well at the age of five.	could	could	EN_4	True	N/A
can-vs-may_6	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He <gap> read quite well at the age of five.	could	could	EN_5	True	N/A
can-vs-may_7	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When I arrived everyone was asleep. Fortunately I <gap> wake my sister and she let me in.	was able to	could	EN_1	False	N/A
can-vs-may_7	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When I arrived everyone was asleep. Fortunately I <gap> wake my sister and she let me in.	was able to	managed to	EN_2	True	N/A
can-vs-may_7	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When I arrived everyone was asleep. Fortunately I <gap> wake my sister and she let me in.	was able to	could	EN_3	False	N/A
can-vs-may_7	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When I arrived everyone was asleep. Fortunately I <gap> wake my sister and she let me in.	was able to	was able to	EN_4	True	N/A
can-vs-may_7	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	When I arrived everyone was asleep. Fortunately I <gap> wake my sister and she let me in.	was able to	was able to	EN_5	True	N/A
can-vs-may_8	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The police were suspicious at first but I <gap> convince them that we were innocent.	managed to	managed to	EN_1	True	N/A
can-vs-may_8	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The police were suspicious at first but I <gap> convince them that we were innocent.	managed to	could	EN_2	False	N/A
can-vs-may_8	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The police were suspicious at first but I <gap> convince them that we were innocent.	managed to	could	EN_3	False	N/A
can-vs-may_8	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The police were suspicious at first but I <gap> convince them that we were innocent.	managed to	was able to	EN_4	True	N/A
can-vs-may_8	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The police were suspicious at first but I <gap> convince them that we were innocent.	managed to	could	EN_5	False	N/A
can-vs-may_9	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She lived two houses away, so she <gap> on us if she had wanted to. (to call + easily)	could easily have called	could easily have called	EN_1	True	N/A
can-vs-may_9	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She lived two houses away, so she <gap> on us if she had wanted to. (to call + easily)	could easily have called	easily could have called	EN_2	True	N/A
can-vs-may_9	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She lived two houses away, so she <gap> on us if she had wanted to. (to call + easily)	could easily have called	could have easily called	EN_3	True	N/A
can-vs-may_9	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She lived two houses away, so she <gap> on us if she had wanted to. (to call + easily)	could easily have called	could easily call	EN_4	False	N/A
can-vs-may_9	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She lived two houses away, so she <gap> on us if she had wanted to. (to call + easily)	could easily have called	could have easily called	EN_5	True	N/A
can-vs-may_10	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	It was very icy, but I <gap> the car on the road. (to keep)	managed to keep	managed to keep	EN_1	True	N/A
can-vs-may_10	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	It was very icy, but I <gap> the car on the road. (to keep)	managed to keep	managed to keep	EN_2	True	N/A
can-vs-may_10	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	It was very icy, but I <gap> the car on the road. (to keep)	managed to keep	managed to keep	EN_3	True	N/A
can-vs-may_10	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	It was very icy, but I <gap> the car on the road. (to keep)	managed to keep	managed to keep	EN_4	True	N/A
can-vs-may_10	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	It was very icy, but I <gap> the car on the road. (to keep)	managed to keep	managed to keep	EN_5	True	N/A
can-vs-may_11	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Do you want some milk? There <gap> in the fridge. (to leave + some)	may be some left	might be left some	EN_1	True	N/A
can-vs-may_11	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Do you want some milk? There <gap> in the fridge. (to leave + some)	may be some left	might be some left	EN_2	True	N/A
can-vs-may_11	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Do you want some milk? There <gap> in the fridge. (to leave + some)	may be some left	might be left some	EN_3	True	N/A
can-vs-may_11	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Do you want some milk? There <gap> in the fridge. (to leave + some)	may be some left	might be some left	EN_4	True	N/A
can-vs-may_11	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Do you want some milk? There <gap> in the fridge. (to leave + some)	may be some left	might be some left	EN_5	True	N/A
can-vs-may_12	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Veronica was very upset when Ben left her, but she <gap> nevertheless. (to smile)	managed to smile	managed to smile	EN_1	True	N/A
can-vs-may_12	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Veronica was very upset when Ben left her, but she <gap> nevertheless. (to smile)	managed to smile	managed to smile	EN_2	True	N/A
can-vs-may_12	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Veronica was very upset when Ben left her, but she <gap> nevertheless. (to smile)	managed to smile	was able to smile	EN_3	True	N/A
can-vs-may_12	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Veronica was very upset when Ben left her, but she <gap> nevertheless. (to smile)	managed to smile	managed to smile	EN_4	True	N/A
can-vs-may_12	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Veronica was very upset when Ben left her, but she <gap> nevertheless. (to smile)	managed to smile	succeeded to smile	EN_5	False	N/A
can-vs-may_13	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He asked me when Julie's birthday was, but I <gap> . (to remember)	couldn't remember	could not remember	EN_1	True	N/A
can-vs-may_13	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He asked me when Julie's birthday was, but I <gap> . (to remember)	couldn't remember	couldn't remember	EN_2	True	N/A
can-vs-may_13	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He asked me when Julie's birthday was, but I <gap> . (to remember)	couldn't remember	couldn't remember	EN_3	True	N/A
can-vs-may_13	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He asked me when Julie's birthday was, but I <gap> . (to remember)	couldn't remember	couldn't remember	EN_4	True	N/A
can-vs-may_13	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He asked me when Julie's birthday was, but I <gap> . (to remember)	couldn't remember	couldn't remember	EN_5	True	N/A
can-vs-may_14	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He was standing very close to me and I <gap> the garlic on his breath. (to smell)	could smell	could smell	EN_1	True	N/A
can-vs-may_14	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He was standing very close to me and I <gap> the garlic on his breath. (to smell)	could smell	could smell	EN_2	True	N/A
can-vs-may_14	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He was standing very close to me and I <gap> the garlic on his breath. (to smell)	could smell	could smell	EN_3	True	N/A
can-vs-may_14	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He was standing very close to me and I <gap> the garlic on his breath. (to smell)	could smell	could smell	EN_4	True	N/A
can-vs-may_14	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	He was standing very close to me and I <gap> the garlic on his breath. (to smell)	could smell	could smell	EN_5	True	N/A
can-vs-may_15	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	(from the official Income Tax Guide) An Income Tax Return form <gap> from the local office of H.M. Inspector of Taxes. (to obtain)	may be obtained	can be obtained	EN_1	False	N/A
can-vs-may_15	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	(from the official Income Tax Guide) An Income Tax Return form <gap> from the local office of H.M. Inspector of Taxes. (to obtain)	may be obtained	is able to obtain	EN_2	False	N/A
can-vs-may_15	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	(from the official Income Tax Guide) An Income Tax Return form <gap> from the local office of H.M. Inspector of Taxes. (to obtain)	may be obtained	might have obtained	EN_3	False	N/A
can-vs-may_15	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	(from the official Income Tax Guide) An Income Tax Return form <gap> from the local office of H.M. Inspector of Taxes. (to obtain)	may be obtained	can be obtained	EN_4	False	N/A
can-vs-may_15	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	(from the official Income Tax Guide) An Income Tax Return form <gap> from the local office of H.M. Inspector of Taxes. (to obtain)	may be obtained	was managed to be obtained	EN_5	False	N/A
can-vs-may_16	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	By the time she was seven, she <gap> three languages. (to speak + already)	could already speak	was already able to speak	EN_1	False	N/A
can-vs-may_16	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	By the time she was seven, she <gap> three languages. (to speak + already)	could already speak	could already speak	EN_2	True	N/A
can-vs-may_16	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	By the time she was seven, she <gap> three languages. (to speak + already)	could already speak	could to speak already	EN_3	False	N/A
can-vs-may_16	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	By the time she was seven, she <gap> three languages. (to speak + already)	could already speak	was already able to speak	EN_4	False	N/A
can-vs-may_16	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	By the time she was seven, she <gap> three languages. (to speak + already)	could already speak	could already speak	EN_5	True	N/A
can-vs-may_17	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	I <gap> a horse when I was twenty, but I am too old for it now. (to ride)	could ride	was able to ride	EN_1	False	N/A
can-vs-may_17	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	I <gap> a horse when I was twenty, but I am too old for it now. (to ride)	could ride	might have been able	EN_2	False	N/A
can-vs-may_17	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	I <gap> a horse when I was twenty, but I am too old for it now. (to ride)	could ride	was able riding	EN_3	False	N/A
can-vs-may_17	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	I <gap> a horse when I was twenty, but I am too old for it now. (to ride)	could ride	could have ridden	EN_4	False	N/A
can-vs-may_17	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	I <gap> a horse when I was twenty, but I am too old for it now. (to ride)	could ride	was able to ride	EN_5	False	N/A
can-vs-may_18	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Journalists <gap> themselves liberals, but they all retain some vestigial bias. (to call)	may call	can call	EN_1	False	N/A
can-vs-may_18	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Journalists <gap> themselves liberals, but they all retain some vestigial bias. (to call)	may call	might call	EN_2	False	N/A
can-vs-may_18	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Journalists <gap> themselves liberals, but they all retain some vestigial bias. (to call)	may call	might call	EN_3	False	N/A
can-vs-may_18	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Journalists <gap> themselves liberals, but they all retain some vestigial bias. (to call)	may call	might call	EN_4	False	N/A
can-vs-may_18	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Journalists <gap> themselves liberals, but they all retain some vestigial bias. (to call)	may call	might call	EN_5	False	N/A
can-vs-may_19	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She didn't really want to go to Mexico, but Tony <gap> her somehow. (to persuade)	managed to persuade	succeeded in persuading	EN_1	True	N/A
can-vs-may_19	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She didn't really want to go to Mexico, but Tony <gap> her somehow. (to persuade)	managed to persuade	succeeded in persuading	EN_2	True	N/A
can-vs-may_19	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She didn't really want to go to Mexico, but Tony <gap> her somehow. (to persuade)	managed to persuade	could persuade	EN_3	False	N/A
can-vs-may_19	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She didn't really want to go to Mexico, but Tony <gap> her somehow. (to persuade)	managed to persuade	managed to persuade	EN_4	True	N/A
can-vs-may_19	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	She didn't really want to go to Mexico, but Tony <gap> her somehow. (to persuade)	managed to persuade	could persuade	EN_5	False	N/A
can-vs-may_20	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Sorry, <gap> something here? (to say + I + just)	may I just say	could I just say	EN_1	False	N/A
can-vs-may_20	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Sorry, <gap> something here? (to say + I + just)	may I just say	can I just say	EN_2	True	N/A
can-vs-may_20	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Sorry, <gap> something here? (to say + I + just)	may I just say	may I just say	EN_3	True	N/A
can-vs-may_20	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Sorry, <gap> something here? (to say + I + just)	may I just say	can I just say	EN_4	True	N/A
can-vs-may_20	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	Sorry, <gap> something here? (to say + I + just)	may I just say	may I just say	EN_5	True	N/A
can-vs-may_21	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	I'd like <gap> like Jack. He swims like a fish. (to swim)	to be able to swim	to be able to swim	EN_1	True	N/A
can-vs-may_21	gapFilling	Complete the following sentence using: can, could, be able to/manage to/succeed in, could have, may, might, may have, might have. It may be necessary to use passives/negatives. You can find the verb to be filled in between brackets after the sentence.	I'd like <gap> like Jack. He swims like a fish. (to swim)	to be able to swim	to be able to swim	EN_2	True	N/A
